dataset,method,n,n_noise,auc,p_at_10,random_p
clean,zscore_max,906,0,,0.0,0.0
clean,zscore_mean,906,0,,0.0,0.0
clean,iforest,906,0,,0.0,0.0
duplicate,zscore_max,995,89,0.6038891782622715,0.04,0.08944723618090453
duplicate,zscore_mean,995,89,0.542438673512414,0.05,0.08944723618090453
duplicate,iforest,995,89,0.6119750973534738,0.05,0.08944723618090453
garbled,zscore_max,904,85,0.6640163757810817,0.08888888888888889,0.09402654867256637
garbled,zscore_mean,904,85,0.873015873015873,0.3111111111111111,0.09402654867256637
garbled,iforest,904,85,0.9355598649716297,0.5555555555555556,0.09402654867256637
keyword,zscore_max,906,87,0.5201465201465202,0.10989010989010989,0.09602649006622517
keyword,zscore_mean,906,87,0.525156835501663,0.10989010989010989,0.09602649006622517
keyword,iforest,906,87,0.5519767588733107,0.0989010989010989,0.09602649006622517
mixed,zscore_max,919,92,0.6044897744598074,0.05434782608695652,0.10010881392818281
mixed,zscore_mean,919,92,0.6325114347300352,0.17391304347826086,0.10010881392818281
mixed,iforest,919,92,0.6617422848430683,0.22826086956521738,0.10010881392818281
near_duplicate,zscore_max,906,87,0.5068769034286276,0.12087912087912088,0.09602649006622517
near_duplicate,zscore_mean,906,87,0.548917238572411,0.10989010989010989,0.09602649006622517
near_duplicate,iforest,906,87,0.5992730130661165,0.13186813186813187,0.09602649006622517
template,zscore_max,906,87,0.8779279468934642,0.02197802197802198,0.09602649006622517
template,zscore_mean,906,87,0.8025626991144232,0.16483516483516483,0.09602649006622517
template,iforest,906,87,0.5217043492905562,0.06593406593406594,0.09602649006622517
truncation,zscore_max,905,86,0.6572890933356048,0.17777777777777778,0.09502762430939227
truncation,zscore_mean,905,86,0.6096203538064003,0.14444444444444443,0.09502762430939227
truncation,iforest,905,86,0.598418377488145,0.15555555555555556,0.09502762430939227
unrelated,zscore_max,904,85,0.6044530632765927,0.1111111111111111,0.09402654867256637
unrelated,zscore_mean,904,85,0.596265172735761,0.16666666666666666,0.09402654867256637
unrelated,iforest,904,85,0.703454715219421,0.18888888888888888,0.09402654867256637
